# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float32}
# - {name: lcerr, datatype: float32}
# - {name: polynomial, datatype: float64}
# - {name: ypos, datatype: float64}
# - {name: ywidth, datatype: float64}
# - {name: astrophysical model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr polynomial ypos ywidth "astrophysical model" model residuals
2460776.8137693983 0.075 0.0 1.0035753 0.0012787507 1.0034033696216393 1.0 1.0 1.0 1.0034033696216393 0.0001719553905676907
2460776.8151582656 0.075 0.0 1.0055764 0.0012788026 1.0034027767188447 1.0 1.0 1.0 1.0034027767188447 0.002173595427761743
2460776.816547133 0.075 0.0 1.0026418 0.0012778137 1.0034021838160498 1.0 1.0 1.0 1.0034021838160498 -0.0007603867503149786
2460776.817936 0.075 0.0 1.0035237 0.0012796235 1.003401590913454 1.0 1.0 1.0 1.003401590913454 0.00012211647637760947
2460776.8193248673 0.075 0.0 0.9996626 0.0012772256 1.0034009980106593 1.0 1.0 1.0 1.0034009980106593 -0.0037384199047327815
2460776.8207137343 0.075 0.0 1.0045966 0.0012785997 1.0034004051080634 1.0 1.0 1.0 1.0034004051080634 0.0011961858877251874
2460776.8221026016 0.075 0.0 1.001184 0.0012781863 1.0033998122052687 1.0 1.0 1.0 1.0033998122052687 -0.002215825541450389
2460776.8234914686 0.075 0.0 1.0043789 0.0012782937 1.0033992193026728 1.0 1.0 1.0 1.0033992193026728 0.0009796955303960075
2460776.824880336 0.075 0.0 1.00336 0.0012780911 1.003398626399878 1.0 1.0 1.0 1.003398626399878 -3.859336459965945e-05
2460776.826269203 0.075 0.0 1.0035456 0.0012780373 1.003398033497282 1.0 1.0 1.0 1.003398033497282 0.00014760840182681534
2460776.8276580703 0.075 0.0 1.0038211 0.0012784342 1.0033974405944874 1.0 1.0 1.0 1.0033974405944874 0.0004236939727733091
2460776.829046937 0.075 0.0 1.0023344 0.0012787281 1.0033968476918915 1.0 1.0 1.0 1.0033968476918915 -0.0010624913839081263
2460776.8304358046 0.075 0.0 1.0066769 0.001279179 1.0033962547890969 1.0 1.0 1.0 1.0033962547890969 0.0032806575186423714
2460776.8318246715 0.075 0.0 1.0029961 0.0012778771 1.003395661886501 1.0 1.0 1.0 1.003395661886501 -0.00039957481222119284
2460776.8332135384 0.075 0.0 1.0031432 0.0012779713 1.003395068983905 1.0 1.0 1.0 1.003395068983905 -0.0002518776463196204
2460776.834602406 0.075 0.0 1.0041138 0.0012786958 1.0033944760811104 1.0 1.0 1.0 1.0033944760811104 0.0007193172919974788
2460776.8359912727 0.075 0.0 1.0034976 0.0012784253 1.0033938831785143 1.0 1.0 1.0 1.0033938831785143 0.000103717376905621
2460776.8373801396 0.075 0.0 1.0038031 0.0012784756 1.0033932902759184 1.0 1.0 1.0 1.0033932902759184 0.0004098436886201817
2460776.838769007 0.075 0.0 1.003152 0.0012786299 1.0033926973731238 1.0 1.0 1.0 1.0033926973731238 -0.00024068454811154716
2460776.840157874 0.075 0.0 1.0017891 0.0012776719 1.0033921044705278 1.0 1.0 1.0 1.0033921044705278 -0.0016030114529497208
2460776.841546741 0.075 0.0 1.0023689 0.0012781051 1.003391511567932 1.0 1.0 1.0 1.003391511567932 -0.0010225845659788124
2460776.8429356082 0.075 0.0 1.0047082 0.0012790976 1.0033909186651373 1.0 1.0 1.0 1.0033909186651373 0.0013172522256708064
